```csv
nutrient_identifier,life_stage_name,dri_type,value_numeric,value_string,unit,source_of_goal,criterion,footnote_marker,notes,source_document
NA,"Pregnancy 31-50 years 2nd Trimester",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-3
ZN,"Pregnancy 31-50 years 2nd Trimester",RDA,11,,mg,RDA,,,,DGA App1 T A1-3
ID,"Pregnancy 31-50 years 2nd Trimester",RDA,220,,mcg,RDA,,,,DGA App1 T A1-3
VITA_RAE,"Pregnancy 31-50 years 2nd Trimester",RDA,770,,mcg RAE,RDA,,b,,DGA App1 T A1-3
VITE_AT,"Pregnancy 31-50 years 2nd Trimester",RDA,15,,mg AT,RDA,,b,,DGA App1 T A1-3
VITD_IU,"Pregnancy 31-50 years 2nd Trimester",RDA,600,,IU,RDA,,b,,DGA App1 T A1-3
VITC,"Pregnancy 31-50 years 2nd Trimester",RDA,85,,mg,RDA,,,,DGA App1 T A1-3
THIA,"Pregnancy 31-50 years 2nd Trimester",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-3
RIBF,"Pregnancy 31-50 years 2nd Trimester",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-3
NIA,"Pregnancy 31-50 years 2nd Trimester",RDA,18,,mg,RDA,,,,DGA App1 T A1-3
VITB6,"Pregnancy 31-50 years 2nd Trimester",RDA,1.9,,mg,RDA,,,,DGA App1 T A1-3
VITB12,"Pregnancy 31-50 years 2nd Trimester",RDA,2.6,,mcg,RDA,,,,DGA App1 T A1-3
CHOLN,"Pregnancy 31-50 years 2nd Trimester",AI,450,,mg,AI,,,,DGA App1 T A1-3
VITK,"Pregnancy 31-50 years 2nd Trimester",AI,90,,mcg,AI,,,,DGA App1 T A1-3
FOL_DFE,"Pregnancy 31-50 years 2nd Trimester",RDA,600,,mcg DFE,RDA,,b,,DGA App1 T A1-3
PROCNT,"Pregnancy 31-50 years 3rd Trimester",AMDR_perc_range,,"10-35",% kcal,AMDR,,,,DGA App1 T A1-3
PROCNT,"Pregnancy 31-50 years 3rd Trimester",RDA,71,,g,RDA,,,,DGA App1 T A1-3
CHOCDF,"Pregnancy 31-50 years 3rd Trimester",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-3
CHOCDF,"Pregnancy 31-50 years 3rd Trimester",RDA,175,,g,RDA,,,,DGA App1 T A1-3
FIBTG,"Pregnancy 31-50 years 3rd Trimester",AI,34,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 2400 (2.4*14=33.6, rounded to 34),DGA App1 T A1-3
SUGAR_ADD,"Pregnancy 31-50 years 3rd Trimester",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-3
FAT,"Pregnancy 31-50 years 3rd Trimester",AMDR_perc_range,,"20-35",% kcal,AMDR,,,,DGA App1 T A1-3
FASAT,"Pregnancy 31-50 years 3rd Trimester",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-3
FALINOLEIC,"Pregnancy 31-50 years 3rd Trimester",AI,13,,g,AI,,,,DGA App1 T A1-3
FAALALIN,"Pregnancy 31-50 years 3rd Trimester",AI,1.4,,g,AI,,,,DGA App1 T A1-3
CA,"Pregnancy 31-50 years 3rd Trimester",RDA,1000,,mg,RDA,,,,DGA App1 T A1-3
FE,"Pregnancy 31-50 years 3rd Trimester",RDA,27,,mg,RDA,,,,DGA App1 T A1-3
MG,"Pregnancy 31-50 years 3rd Trimester",RDA,360,,mg,RDA,,,,DGA App1 T A1-3
P,"Pregnancy 31-50 years 3rd Trimester",RDA,700,,mg,RDA,,,,DGA App1 T A1-3
K,"Pregnancy 31-50 years 3rd Trimester",AI,2900,,mg,AI,,,,DGA App1 T A1-3
NA,"Pregnancy 31-50 years 3rd Trimester",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-3
ZN,"Pregnancy 31-50 years 3rd Trimester",RDA,11,,mg,RDA,,,,DGA App1 T A1-3
ID,"Pregnancy 31-50 years 3rd Trimester",RDA,220,,mcg,RDA,,,,DGA App1 T A1-3
VITA_RAE,"Pregnancy 31-50 years 3rd Trimester",RDA,770,,mcg RAE,RDA,,b,,DGA App1 T A1-3
VITE_AT,"Pregnancy 31-50 years 3rd Trimester",RDA,15,,mg AT,RDA,,b,,DGA App1 T A1-3
VITD_IU,"Pregnancy 31-50 years 3rd Trimester",RDA,600,,IU,RDA,,b,,DGA App1 T A1-3
VITC,"Pregnancy 31-50 years 3rd Trimester",RDA,85,,mg,RDA,,,,DGA App1 T A1-3
THIA,"Pregnancy 31-50 years 3rd Trimester",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-3
RIBF,"Pregnancy 31-50 years 3rd Trimester",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-3
NIA,"Pregnancy 31-50 years 3rd Trimester",RDA,18,,mg,RDA,,,,DGA App1 T A1-3
VITB6,"Pregnancy 31-50 years 3rd Trimester",RDA,1.9,,mg,RDA,,,,DGA App1 T A1-3
VITB12,"Pregnancy 31-50 years 3rd Trimester",RDA,2.6,,mcg,RDA,,,,DGA App1 T A1-3
CHOLN,"Pregnancy 31-50 years 3rd Trimester",AI,450,,mg,AI,,,,DGA App1 T A1-3
VITK,"Pregnancy 31-50 years 3rd Trimester",AI,90,,mcg,AI,,,,DGA App1 T A1-3
FOL_DFE,"Pregnancy 31-50 years 3rd Trimester",RDA,600,,mcg DFE,RDA,,b,,DGA App1 T A1-3
PROCNT,"Lactation 14-18 years 0-6 months",AMDR_perc_range,,"10-30",% kcal,AMDR,,,,DGA App1 T A1-4
PROCNT,"Lactation 14-18 years 0-6 months",RDA,71,,g,RDA,,,,DGA App1 T A1-4
CHOCDF,"Lactation 14-18 years 0-6 months",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-4
CHOCDF,"Lactation 14-18 years 0-6 months",RDA,210,,g,RDA,,,,DGA App1 T A1-4
FIBTG,"Lactation 14-18 years 0-6 months",AI,31,,g,AI,"14g/1,000kcal",,Assessed Calorie Level 2200 (2.2*14=30.8, rounded to 31),DGA App1 T A1-4
SUGAR_ADD,"Lactation 14-18 years 0-6 months",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-4
FAT,"Lactation 14-18 years 0-6 months",AMDR_perc_range,,"25-35",% kcal,AMDR,,,,DGA App1 T A1-4
FASAT,"Lactation 14-18 years 0-6 months",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-4
FALINOLEIC,"Lactation 14-18 years 0-6 months",AI,13,,g,AI,,,,DGA App1 T A1-4
FAALALIN,"Lactation 14-18 years 0-6 months",AI,1.3,,g,AI,,,,DGA App1 T A1-4
CA,"Lactation 14-18 years 0-6 months",RDA,1300,,mg,RDA,,,,DGA App1 T A1-4
FE,"Lactation 14-18 years 0-6 months",RDA,10,,mg,RDA,,,,DGA App1 T A1-4
MG,"Lactation 14-18 years 0-6 months",RDA,360,,mg,RDA,,,,DGA App1 T A1-4
P,"Lactation 14-18 years 0-6 months",RDA,1250,,mg,RDA,,,,DGA App1 T A1-4
K,"Lactation 14-18 years 0-6 months",AI,2500,,mg,AI,,,,DGA App1 T A1-4
NA,"Lactation 14-18 years 0-6 months",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-4
ZN,"Lactation 14-18 years 0-6 months",RDA,13,,mg,RDA,,,,DGA App1 T A1-4
ID,"Lactation 14-18 years 0-6 months",RDA,290,,mcg,RDA,,,,DGA App1 T A1-4
VITA_RAE,"Lactation 14-18 years 0-6 months",RDA,1200,,mcg RAE,RDA,,b,,DGA App1 T A1-4
VITE_AT,"Lactation 14-18 years 0-6 months",RDA,19,,mg AT,RDA,,b,,DGA App1 T A1-4
VITD_IU,"Lactation 14-18 years 0-6 months",RDA,600,,IU,RDA,,b,,DGA App1 T A1-4
VITC,"Lactation 14-18 years 0-6 months",RDA,115,,mg,RDA,,,,DGA App1 T A1-4
THIA,"Lactation 14-18 years 0-6 months",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-4
RIBF,"Lactation 14-18 years 0-6 months",RDA,1.6,,mg,RDA,,,,DGA App1 T A1-4
NIA,"Lactation 14-18 years 0-6 months",RDA,17,,mg,RDA,,,,DGA App1 T A1-4
VITB6,"Lactation 14-18 years 0-6 months",RDA,2,,mg,RDA,,,,DGA App1 T A1-4
VITB12,"Lactation 14-18 years 0-6 months",RDA,2.8,,mcg,RDA,,,,DGA App1 T A1-4
CHOLN,"Lactation 14-18 years 0-6 months",AI,550,,mg,AI,,,,DGA App1 T A1-4
VITK,"Lactation 14-18 years 0-6 months",AI,75,,mcg,AI,,,,DGA App1 T A1-4
FOL_DFE,"Lactation 14-18 years 0-6 months",RDA,500,,mcg DFE,RDA,,b,,DGA App1 T A1-4
PROCNT,"Lactation 14-18 years 7-12 months",AMDR_perc_range,,"10-30",% kcal,AMDR,,,,DGA App1 T A1-4
PROCNT,"Lactation 14-18 years 7-12 months",RDA,71,,g,RDA,,,,DGA App1 T A1-4
CHOCDF,"Lactation 14-18 years 7-12 months",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-4
CHOCDF,"Lactation 14-18 years 7-12 months",RDA,210,,g,RDA,,,,DGA App1 T A1-4
FIBTG,"Lactation 14-18 years 7-12 months",AI,31,,g,AI,"14g/1,000kcal",,Assessed Calorie Level 2200 (2.2*14=30.8, rounded to 31),DGA App1 T A1-4
SUGAR_ADD,"Lactation 14-18 years 7-12 months",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-4
FAT,"Lactation 14-18 years 7-12 months",AMDR_perc_range,,"25-35",% kcal,AMDR,,,,DGA App1 T A1-4
FASAT,"Lactation 14-18 years 7-12 months",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-4
FALINOLEIC,"Lactation 14-18 years 7-12 months",AI,13,,g,AI,,,,DGA App1 T A1-4
FAALALIN,"Lactation 14-18 years 7-12 months",AI,1.3,,g,AI,,,,DGA App1 T A1-4
CA,"Lactation 14-18 years 7-12 months",RDA,1300,,mg,RDA,,,,DGA App1 T A1-4
FE,"Lactation 14-18 years 7-12 months",RDA,10,,mg,RDA,,,,DGA App1 T A1-4
MG,"Lactation 14-18 years 7-12 months",RDA,360,,mg,RDA,,,,DGA App1 T A1-4
P,"Lactation 14-18 years 7-12 months",RDA,1250,,mg,RDA,,,,DGA App1 T A1-4
K,"Lactation 14-18 years 7-12 months",AI,2500,,mg,AI,,,,DGA App1 T A1-4
NA,"Lactation 14-18 years 7-12 months",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-4
ZN,"Lactation 14-18 years 7-12 months",RDA,13,,mg,RDA,,,,DGA App1 T A1-4
ID,"Lactation 14-18 years 7-12 months",RDA,290,,mcg,RDA,,,,DGA App1 T A1-4
VITA_RAE,"Lactation 14-18 years 7-12 months",RDA,1200,,mcg RAE,RDA,,b,,DGA App1 T A1-4
VITE_AT,"Lactation 14-18 years 7-12 months",RDA,19,,mg AT,RDA,,b,,DGA App1 T A1-4
VITD_IU,"Lactation 14-18 years 7-12 months",RDA,600,,IU,RDA,,b,,DGA App1 T A1-4
VITC,"Lactation 14-18 years 7-12 months",RDA,115,,mg,RDA,,,,DGA App1 T A1-4
THIA,"Lactation 14-18 years 7-12 months",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-4
RIBF,"Lactation 14-18 years 7-12 months",RDA,1.6,,mg,RDA,,,,DGA App1 T A1-4
NIA,"Lactation 14-18 years 7-12 months",RDA,17,,mg,RDA,,,,DGA App1 T A1-4
VITB6,"Lactation 14-18 years 7-12 months",RDA,2,,mg,RDA,,,,DGA App1 T A1-4
VITB12,"Lactation 14-18 years 7-12 months",RDA,2.8,,mcg,RDA,,,,DGA App1 T A1-4
CHOLN,"Lactation 14-18 years 7-12 months",AI,550,,mg,AI,,,,DGA App1 T A1-4
VITK,"Lactation 14-18 years 7-12 months",AI,75,,mcg,AI,,,,DGA App1 T A1-4
FOL_DFE,"Lactation 14-18 years 7-12 months",RDA,500,,mcg DFE,RDA,,b,,DGA App1 T A1-4
PROCNT,"Lactation 19-30 years 0-6 months",AMDR_perc_range,,"10-35",% kcal,AMDR,,,,DGA App1 T A1-4
PROCNT,"Lactation 19-30 years 0-6 months",RDA,71,,g,RDA,,,,DGA App1 T A1-4
CHOCDF,"Lactation 19-30 years 0-6 months",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-4
CHOCDF,"Lactation 19-30 years 0-6 months",RDA,210,,g,RDA,,,,DGA App1 T A1-4
FIBTG,"Lactation 19-30 years 0-6 months",AI,34,,g,AI,"14g/1,000kcal",,Assessed Calorie Level 2400 (2.4*14=33.6, rounded to 34),DGA App1 T A1-4
SUGAR_ADD,"Lactation 19-30 years 0-6 months",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-4
FAT,"Lactation 19-30 years 0-6 months",AMDR_perc_range,,"20-35",% kcal,AMDR,,,,DGA App1 T A1-4
FASAT,"Lactation 19-30 years 0-6 months",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-4
FALINOLEIC,"Lactation 19-30 years 0-6 months",AI,13,,g,AI,,,,DGA App1 T A1-4
FAALALIN,"Lactation 19-30 years 0-6 months",AI,1.3,,g,AI,,,,DGA App1 T A1-4
CA,"Lactation 19-30 years 0-6 months",RDA,1000,,mg,RDA,,,,DGA App1 T A1-4
FE,"Lactation 19-30 years 0-6 months",RDA,9,,mg,RDA,,,,DGA App1 T A1-4
MG,"Lactation 19-30 years 0-6 months",RDA,310,,mg,RDA,,,,DGA App1 T A1-4
P,"Lactation 19-30 years 0-6 months",RDA,700,,mg,RDA,,,,DGA App1 T A1-4
K,"Lactation 19-30 years 0-6 months",AI,2800,,mg,AI,,,,DGA App1 T A1-4
NA,"Lactation 19-30 years 0-6 months",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-4
ZN,"Lactation 19-30 years 0-6 months",RDA,12,,mg,RDA,,,,DGA App1 T A1-4
ID,"Lactation 19-30 years 0-6 months",RDA,290,,mcg,RDA,,,,DGA App1 T A1-4
VITA_RAE,"Lactation 19-30 years 0-6 months",RDA,1300,,mcg RAE,RDA,,b,,DGA App1 T A1-4
VITE_AT,"Lactation 19-30 years 0-6 months",RDA,19,,mg AT,RDA,,b,,DGA App1 T A1-4
VITD_IU,"Lactation 19-30 years 0-6 months",RDA,600,,IU,RDA,,b,,DGA App1 T A1-4
VITC,"Lactation 19-30 years 0-6 months",RDA,120,,mg,RDA,,,,DGA App1 T A1-4
THIA,"Lactation 19-30 years 0-6 months",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-4
RIBF,"Lactation 19-30 years 0-6 months",RDA,1.6,,mg,RDA,,,,DGA App1 T A1-4
NIA,"Lactation 19-30 years 0-6 months",RDA,17,,mg,RDA,,,,DGA App1 T A1-4
VITB6,"Lactation 19-30 years 0-6 months",RDA,2,,mg,RDA,,,,DGA App1 T A1-4
VITB12,"Lactation 19-30 years 0-6 months",RDA,2.8,,mcg,RDA,,,,DGA App1 T A1-4
CHOLN,"Lactation 19-30 years 0-6 months",AI,550,,mg,AI,,,,DGA App1 T A1-4
VITK,"Lactation 19-30 years 0-6 months",AI,90,,mcg,AI,,,,DGA App1 T A1-4
FOL_DFE,"Lactation 19-30 years 0-6 months",RDA,500,,mcg DFE,RDA,,b,,DGA App1 T A1-4
PROCNT,"Lactation 19-30 years 7-12 months",AMDR_perc_range,,"10-35",% kcal,AMDR,,,,DGA App1 T A1-4
PROCNT,"Lactation 19-30 years 7-12 months",RDA,71,,g,RDA,,,,DGA App1 T A1-4
CHOCDF,"Lactation 19-30 years 7-12 months",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-4
CHOCDF,"Lactation 19-30 years 7-12 months",RDA,210,,g,RDA,,,,DGA App1 T A1-4
FIBTG,"Lactation 19-30 years 7-12 months",AI,34,,g,AI,"14g/1,000kcal",,Assessed Calorie Level 2400 (2.4*14=33.6, rounded to 34),DGA App1 T A1-4
SUGAR_ADD,"Lactation 19-30 years 7-12 months",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-4
FAT,"Lactation 19-30 years 7-12 months",AMDR_perc_range,,"20-35",% kcal,AMDR,,,,DGA App1 T A1-4
FASAT,"Lactation 19-30 years 7-12 months",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-4
FALINOLEIC,"Lactation 19-30 years 7-12 months",AI,13,,g,AI,,,,DGA App1 T A1-4
FAALALIN,"Lactation 19-30 years 7-12 months",AI,1.3,,g,AI,,,,DGA App1 T A1-4
CA,"Lactation 19-30 years 7-12 months",RDA,1000,,mg,RDA,,,,DGA App1 T A1-4
FE,"Lactation 19-30 years 7-12 months",RDA,9,,mg,RDA,,,,DGA App1 T A1-4
MG,"Lactation 19-30 years 7-12 months",RDA,310,,mg,RDA,,,,DGA App1 T A1-4
P,"Lactation 19-30 years 7-12 months",RDA,700,,mg,RDA,,,,DGA App1 T A1-4
K,"Lactation 19-30 years 7-12 months",AI,2800,,mg,AI,,,,DGA App1 T A1-4
NA,"Lactation 19-30 years 7-12 months",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-4
ZN,"Lactation 19-30 years 7-12 months",RDA,12,,mg,RDA,,,,DGA App1 T A1-4
ID,"Lactation 19-30 years 7-12 months",RDA,290,,mcg,RDA,,,,DGA App1 T A1-4
VITA_RAE,"Lactation 19-30 years 7-12 months",RDA,1300,,mcg RAE,RDA,,b,,DGA App1 T A1-4
VITE_AT,"Lactation 19-30 years 7-12 months",RDA,19,,mg AT,RDA,,b,,DGA App1 T A1-4
VITD_IU,"Lactation 19-30 years 7-12 months",RDA,600,,IU,RDA,,b,,DGA App1 T A1-4
VITC,"Lactation 19-30 years 7-12 months",RDA,120,,mg,RDA,,,,DGA App1 T A1-4
THIA,"Lactation 19-30 years 7-12 months",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-4
RIBF,"Lactation 19-30 years 7-12 months",RDA,1.6,,mg,RDA,,,,DGA App1 T A1-4
NIA,"Lactation 19-30 years 7-12 months",RDA,17,,mg,RDA,,,,DGA App1 T A1-4
VITB6,"Lactation 19-30 years 7-12 months",RDA,2,,mg,RDA,,,,DGA App1 T A1-4
VITB12,"Lactation 19-30 years 7-12 months",RDA,2.8,,mcg,RDA,,,,DGA App1 T A1-4
CHOLN,"Lactation 19-30 years 7-12 months",AI,550,,mg,AI,,,,DGA App1 T A1-4
VITK,"Lactation 19-30 years 7-12 months",AI,90,,mcg,AI,,,,DGA App1 T A1-4
FOL_DFE,"Lactation 19-30 years 7-12 months",RDA,500,,mcg DFE,RDA,,b,,DGA App1 T A1-4
PROCNT,"Lactation 31-50 years 0-6 months",AMDR_perc_range,,"10-35",% kcal,AMDR,,,,DGA App1 T A1-4
PROCNT,"Lactation 31-50 years 0-6 months",RDA,71,,g,RDA,,,,DGA App1 T A1-4
CHOCDF,"Lactation 31-50 years 0-6 months",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-4
CHOCDF,"Lactation 31-50 years 0-6 months",RDA,210,,g,RDA,,,,DGA App1 T A1-4
FIBTG,"Lactation 31-50 years 0-6 months",AI,31,,g,AI,"14g/1,000kcal",,Assessed Calorie Level 2200 (2.2*14=30.8, rounded to 31),DGA App1 T A1-4
SUGAR_ADD,"Lactation 31-50 years 0-6 months",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-4
FAT,"Lactation 31-50 years 0-6 months",AMDR_perc_range,,"20-35",% kcal,AMDR,,,,DGA App1 T A1-4
FASAT,"Lactation 31-50 years 0-6 months",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-4
FALINOLEIC,"Lactation 31-50 years 0-6 months",AI,13,,g,AI,,,,DGA App1 T A1-4
FAALALIN,"Lactation 31-50 years 0-6 months",AI,1.3,,g,AI,,,,DGA App1 T A1-4
CA,"Lactation 31-50 years 0-6 months",RDA,1000,,mg,RDA,,,,DGA App1 T A1-4
FE,"Lactation 31-50 years 0-6 months",RDA,9,,mg,RDA,,,,DGA App1 T A1-4
MG,"Lactation 31-50 years 0-6 months",RDA,320,,mg,RDA,,,,DGA App1 T A1-4
P,"Lactation 31-50 years 0-6 months",RDA,700,,mg,RDA,,,,DGA App1 T A1-4
K,"Lactation 31-50 years 0-6 months",AI,2800,,mg,AI,,,,DGA App1 T A1-4
NA,"Lactation 31-50 years 0-6 months",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-4
ZN,"Lactation 31-50 years 0-6 months",RDA,12,,mg,RDA,,,,DGA App1 T A1-4
ID,"Lactation 31-50 years 0-6 months",RDA,290,,mcg,RDA,,,,DGA App1 T A1-4
VITA_RAE,"Lactation 31-50 years 0-6 months",RDA,1300,,mcg RAE,RDA,,b,,DGA App1 T A1-4
VITE_AT,"Lactation 31-50 years 0-6 months",RDA,19,,mg AT,RDA,,b,,DGA App1 T A1-4
VITD_IU,"Lactation 31-50 years 0-6 months",RDA,600,,IU,RDA,,b,,DGA App1 T A1-4
VITC,"Lactation 31-50 years 0-6 months",RDA,120,,mg,RDA,,,,DGA App1 T A1-4
THIA,"Lactation 31-50 years 0-6 months",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-4
RIBF,"Lactation 31-50 years 0-6 months",RDA,1.6,,mg,RDA,,,,DGA App1 T A1-4
NIA,"Lactation 31-50 years 0-6 months",RDA,17,,mg,RDA,,,,DGA App1 T A1-4
VITB6,"Lactation 31-50 years 0-6 months",RDA,2,,mg,RDA,,,,DGA App1 T A1-4
VITB12,"Lactation 31-50 years 0-6 months",RDA,2.8,,mcg,RDA,,,,DGA App1 T A1-4
CHOLN,"Lactation 31-50 years 0-6 months",AI,550,,mg,AI,,,,DGA App1 T A1-4
VITK,"Lactation 31-50 years 0-6 months",AI,90,,mcg,AI,,,,DGA App1 T A1-4
FOL_DFE,"Lactation 31-50 years 0-6 months",RDA,500,,mcg DFE,RDA,,b,,DGA App1 T A1-4
PROCNT,"Lactation 31-50 years 7-12 months",AMDR_perc_range,,"10-35",% kcal,AMDR,,,,DGA App1 T A1-4
PROCNT,"Lactation 31-50 years 7-12 months",RDA,71,,g,RDA,,,,DGA App1 T A1-4
CHOCDF,"Lactation 31-50 years 7-12 months",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-4
CHOCDF,"Lactation 31-50 years 7-12 months",RDA,210,,g,RDA,,,,DGA App1 T A1-4
FIBTG,"Lactation 31-50 years 7-12 months",AI,31,,g,AI,"14g/1,000kcal",,Assessed Calorie Level 2200 (2.2*14=30.8, rounded to 31),DGA App1 T A1-4
SUGAR_ADD,"Lactation 31-50 years 7-12 months",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-4
FAT,"Lactation 31-50 years 7-12 months",AMDR_perc_range,,"20-35",% kcal,AMDR,,,,DGA App1 T A1-4
FASAT,"Lactation 31-50 years 7-12 months",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-4
FALINOLEIC,"Lactation 31-50 years 7-12 months",AI,13,,g,AI,,,,DGA App1 T A1-4
FAALALIN,"Lactation 31-50 years 7-12 months",AI,1.3,,g,AI,,,,DGA App1 T A1-4
CA,"Lactation 31-50 years 7-12 months",RDA,1000,,mg,RDA,,,,DGA App1 T A1-4
FE,"Lactation 31-50 years 7-12 months",RDA,9,,mg,RDA,,,,DGA App1 T A1-4
MG,"Lactation 31-50 years 7-12 months",RDA,320,,mg,RDA,,,,DGA App1 T A1-4
P,"Lactation 31-50 years 7-12 months",RDA,700,,mg,RDA,,,,DGA App1 T A1-4
K,"Lactation 31-50 years 7-12 months",AI,2800,,mg,AI,,,,DGA App1 T A1-4
NA,"Lactation 31-50 years 7-12 months",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-4
ZN,"Lactation 31-50 years 7-12 months",RDA,12,,mg,RDA,,,,DGA App1 T A1-4
ID,"Lactation 31-50 years 7-12 months",RDA,290,,mcg,RDA,,,,DGA App1 T A1-4
VITA_RAE,"Lactation 31-50 years 7-12 months",RDA,1300,,mcg RAE,RDA,,b,,DGA App1 T A1-4
VITE_AT,"Lactation 31-50 years 7-12 months",RDA,19,,mg AT,RDA,,b,,DGA App1 T A1-4
VITD_IU,"Lactation 31-50 years 7-12 months",RDA,600,,IU,RDA,,b,,DGA App1 T A1-4
VITC,"Lactation 31-50 years 7-12 months",RDA,120,,mg,RDA,,,,DGA App1 T A1-4
THIA,"Lactation 31-50 years 7-12 months",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-4
RIBF,"Lactation 31-50 years 7-12 months",RDA,1.6,,mg,RDA,,,,DGA App1 T A1-4
NIA,"Lactation 31-50 years 7-12 months",RDA,17,,mg,RDA,,,,DGA App1 T A1-4
VITB6,"Lactation 31-50 years 7-12 months",RDA,2,,mg,RDA,,,,DGA App1 T A1-4
VITB12,"Lactation 31-50 years 7-12 months",RDA,2.8,,mcg,RDA,,,,DGA App1 T A1-4
CHOLN,"Lactation 31-50 years 7-12 months",AI,550,,mg,AI,,,,DGA App1 T A1-4
VITK,"Lactation 31-50 years 7-12 months",AI,90,,mcg,AI,,,,DGA App1 T A1-4
FOL_DFE,"Lactation 31-50 years 7-12 months",RDA,500,,mcg DFE,RDA,,b,,DGA App1 T A1-4
CA,"Infants 0-6 months",AI,210,,mg,AI,"Human milk content",,,IOM DRI Ca/VitD 2011 S-1
CA,"Infants 7-12 months",AI,270,,mg,AI,"Human milk + solid food",,,IOM DRI Ca/VitD 2011 S-1
CA,"Children 1-3 years",AI,500,,mg,AI,"Extrapolation of desirable calcium retention from 4 through 8 years",,,IOM DRI Ca/VitD 2011 S-1
CA,"Children 4-8 years",AI,800,,mg,AI,"Calcium accretion/∆ BMC/calcium balance",,,IOM DRI Ca/VitD 2011 S-1
CA,"Children 9-13 years",AI,1300,,mg,AI,"Desirable calcium retention/factorial/∆ BMC",,,IOM DRI Ca/VitD 2011 S-1
CA,"Adolescents 14-18 years",AI,1300,,mg,AI,"Desirable calcium retention/factorial/∆ BMC",,,IOM DRI Ca/VitD 2011 S-1
CA,"Adults 19-30 years",AI,1000,,mg,AI,"Desirable calcium retention/factorial",,,IOM DRI Ca/VitD 2011 S-1
CA,"Adults 31-50 years",AI,1000,,mg,AI,"Calcium balance",,,IOM DRI Ca/VitD 2011 S-1
CA,"Adults 51-70 years",AI,1200,,mg,AI,"Desirable calcium retention/factorial/∆ BMD",,,IOM DRI Ca/VitD 2011 S-1
CA,"Adults >70 years",AI,1200,,mg,AI,"Extrapolation of desirable calcium retention from 51 through 70 year age group/∆ BMD/fracture rate",,,IOM DRI Ca/VitD 2011 S-1
CA,"Pregnancy <=18 years",AI,1300,,mg,AI,"Bone mineral mass",,Same as non-pregnant,IOM DRI Ca/VitD 2011 S-1
CA,"Pregnancy 19-50 years",AI,1000,,mg,AI,"Bone mineral mass",,Same as non-pregnant,IOM DRI Ca/VitD 2011 S-1
CA,"Lactation <=18 years",AI,1300,,mg,AI,"Bone mineral mass",,Same as non-lactating,IOM DRI Ca/VitD 2011 S-1
CA,"Lactation 19-50 years",AI,1000,,mg,AI,"Bone mineral mass",,Same as non-lactating,IOM DRI Ca/VitD 2011 S-1
P,"Infants 0-6 months",AI,100,,mg,AI,"Human milk content",,,IOM DRI Ca/VitD 2011 S-2
P,"Infants 7-12 months",AI,275,,mg,AI,"Human milk + solid food",,,IOM DRI Ca/VitD 2011 S-2
P,"Children 1-3 years",EAR,380,,mg,EAR,"Factorial approach",,,IOM DRI Ca/VitD 2011 S-2
P,"Children 1-3 years",RDA,460,,mg,RDA,"Factorial approach",,,IOM DRI Ca/VitD 2011 S-2
